bowl,0.970703125,584,457,895,629
fork,0.96142578125,499,652,777,795
dining table,0.9580078125,37,180,1277,998
chair,0.9443359375,207,52,537,354
chair,0.91650390625,515,7,770,272
bottle,0.85205078125,845,173,967,398
chair,0.4931640625,0,111,177,777
bowl,0.462890625,950,259,1070,371
knife,0.357177734375,806,469,997,570
chair,0.33251953125,-3,113,257,1012
chair,0.329833984375,-2,113,449,1015
bottle,0.283203125,766,313,823,434
cup,0.279541015625,952,251,1071,371
chair,0.2705078125,0,112,178,534
knife,0.263671875,500,652,777,796
