potted plant,0.904296875,443,276,640,577
chair,0.88232421875,1160,55,1279,638
couch,0.8466796875,678,64,1258,506
handbag,0.77783203125,840,129,926,301
bottle,0.75830078125,906,337,1053,610
person,0.7275390625,963,96,1206,340
backpack,0.47802734375,2,208,255,532
couch,0.4619140625,2,235,459,944
bed,0.420654296875,2,256,460,946
couch,0.403076171875,123,112,679,435
bed,0.324462890625,678,63,1255,506
chair,0.2880859375,123,111,679,437
chair,0.279541015625,1160,315,1280,638
couch,0.27587890625,122,113,474,299
teddy bear,0.256103515625,378,144,473,229
