potted plant,0.6076209545135498,296,354,383,515
chair,0.600583553314209,614,317,831,675
bottle,0.5962138175964355,516,446,620,609
person,0.5910807847976685,595,340,712,459
bottle,0.48299217224121094,699,291,718,339
chair,0.4088097810745239,467,330,766,607
teddy bear,0.40399277210235596,594,343,712,459
handbag,0.3942175805568695,535,347,580,419
suitcase,0.3932008147239685,466,335,729,516
couch,0.39279505610466003,462,333,730,519
backpack,0.36995163559913635,533,355,587,419
person,0.36186230182647705,535,341,715,496
potted plant,0.35857105255126953,291,326,474,487
clock,0.35485848784446716,154,158,203,197
couch,0.35283881425857544,299,325,478,472
