chair,0.6251301169395447,396,234,507,298
cup,0.6180145144462585,470,315,509,381
spoon,0.6012240052223206,412,389,457,510
chair,0.5676304697990417,225,227,343,296
knife,0.5365557670593262,454,394,521,540
bottle,0.53150475025177,538,285,622,400
bowl,0.507923424243927,212,343,400,470
person,0.48009464144706726,463,109,525,201
dining table,0.4634442627429962,15,168,781,782
refrigerator,0.45213639736175537,271,96,397,289
spoon,0.430618554353714,414,388,447,469
knife,0.42045411467552185,431,400,464,515
person,0.39473703503608704,554,188,580,219
chair,0.385318398475647,519,213,617,311
