potted plant,0.8083202838897705,395,182,616,557
bottle,0.7562329173088074,858,346,1006,625
couch,0.7298819422721863,595,128,1226,550
backpack,0.5342757701873779,1,137,198,423
handbag,0.5255919098854065,775,172,839,334
remote,0.5178911089897156,1069,235,1129,259
person,0.5033466815948486,890,153,1127,366
couch,0.48188120126724243,2,128,444,828
teddy bear,0.4751129150390625,895,158,1128,360
handbag,0.4186752736568451,0,135,199,423
chair,0.3942759931087494,1123,185,1280,637
person,0.3722780644893646,3,133,434,840
couch,0.3595297336578369,817,148,1124,360
