bottle,0.7703984379768372,908,334,1051,607
couch,0.6738425493240356,701,70,1250,519
potted plant,0.6670420169830322,445,217,663,571
chair,0.660029411315918,1161,323,1279,637
handbag,0.6546906232833862,843,130,927,304
backpack,0.6130281090736389,0,211,252,519
person,0.596653163433075,974,94,1199,341
couch,0.5790788531303406,4,176,489,953
teddy bear,0.4238879084587097,971,104,1186,341
couch,0.4025317132472992,130,110,673,573
couch,0.36986634135246277,184,77,1241,554
chair,0.3526333272457123,1209,53,1279,331
