bowl,0.96826171875,787,458,1207,673
dining table,0.9580078125,120,122,1916,1060
chair,0.95361328125,367,14,858,433
chair,0.9091796875,801,3,1201,287
bottle,0.76953125,1212,74,1386,383
bowl,0.63671875,1362,181,1551,333
chair,0.6015625,0,9,365,1065
knife,0.341064453125,691,736,996,856
spoon,0.33154296875,1202,503,1385,566
carrot,0.329345703125,342,625,523,701
carrot,0.32861328125,467,681,633,752
fork,0.30517578125,661,720,995,855
carrot,0.291748046875,507,697,647,773
fork,0.264404296875,656,666,995,858
knife,0.25830078125,1205,503,1386,566
