laptop,0.9677734375,322,397,461,523
keyboard,0.96435546875,253,479,457,583
book,0.94189453125,588,505,689,593
backpack,0.89892578125,304,321,410,459
tv,0.88671875,484,363,662,492
mouse,0.87841796875,488,537,528,579
remote,0.8486328125,555,514,582,567
cell phone,0.7919921875,461,481,503,523
chair,0.67236328125,126,461,476,747
book,0.5009765625,88,259,121,327
book,0.392822265625,120,261,148,324
keyboard,0.32861328125,341,465,449,505
book,0.316650390625,148,124,188,148
book,0.30126953125,164,266,178,323
book,0.28369140625,200,203,221,250
book,0.28173828125,150,265,166,323
book,0.27978515625,178,137,231,176
book,0.279541015625,228,198,246,250
book,0.272705078125,144,139,180,161
book,0.270751953125,141,202,170,242
book,0.27001953125,171,269,185,322
book,0.26904296875,217,260,233,320
book,0.26806640625,143,124,187,161
book,0.2646484375,215,197,232,251
book,0.263671875,145,265,164,323
book,0.259765625,190,116,242,150
book,0.259765625,91,256,234,329
book,0.258056640625,143,147,180,161
book,0.251220703125,167,267,183,323
